asset,feature,horizon,spearman_ic
ITA,VIX_shock_20d,20d,0.09431381759418832
COPX,Aluminum_shock_20d,20d,0.09337880474161174
XME,Aluminum_shock_20d,20d,0.0879883158925098
XAR,VIX_shock_20d,20d,0.08504814329977148
PICK,Aluminum_shock_20d,20d,0.07629801272441945
XLB,VIX_shock_20d,20d,0.05520092802184831
ITA,Aluminum_shock_20d,20d,0.04903449757384146
ITA,Gold_shock_20d,20d,0.043503662850412565
XAR,Aluminum_shock_20d,20d,0.033284306940079146
XLI,VIX_shock_20d,20d,0.03230825231499958
XLI,Aluminum_shock_20d,20d,0.02966945078955945
SPY,USD_shock_20d,20d,0.027356609554347818
VIS,Aluminum_shock_20d,20d,0.025521398892033097
XLB,USD_shock_20d,20d,0.02329861255468191
VIS,VIX_shock_20d,20d,0.02321504614559694
ITA,CMSI,20d,0.01829164181640489
SPY,VIX_shock_20d,20d,0.015410562450022132
PICK,VIX_shock_20d,20d,0.009111823855371275
PRNT,VIX_shock_20d,20d,0.006560362418885802
XLB,Aluminum_shock_20d,20d,0.005835820824263788
XAR,Gold_shock_20d,20d,0.0038698468739475017
XAR,Oil_shock_20d,20d,0.0009298293781174721
XME,USD_shock_20d,20d,0.0005816061999915817
VIS,Oil_shock_20d,20d,-0.000673645517986627
XAR,CMSI,20d,-0.005000553504320691
XLB,CMSI,20d,-0.006697136029400455
COPX,VIX_shock_20d,20d,-0.010906923370714408
PICK,CMSI,20d,-0.012618067840130611
XME,CMSI,20d,-0.013255786010886828
XLB,Oil_shock_20d,20d,-0.013604145616717092
COPX,Oil_shock_20d,20d,-0.014310100948066822
XLI,Oil_shock_20d,20d,-0.01706668643384341
ITA,Oil_shock_20d,20d,-0.018207200572796768
COPX,CMSI,20d,-0.020054878804097665
PICK,Oil_shock_20d,20d,-0.022766644813223498
PICK,USD_shock_20d,20d,-0.023439783462428487
XME,Oil_shock_20d,20d,-0.023488534664654493
XME,VIX_shock_20d,20d,-0.025909259435160523
VIS,CMSI,20d,-0.02745754596535765
XLI,CMSI,20d,-0.0293425705371429
COPX,Gold_shock_20d,20d,-0.030019392024718296
VIS,USD_shock_20d,20d,-0.03516105521901037
PICK,Gold_shock_20d,20d,-0.0354824763669882
XLI,Gold_shock_20d,20d,-0.03598272060385637
PRNT,USD_shock_20d,20d,-0.03644110217760916
PRNT,Aluminum_shock_20d,20d,-0.036640459004548674
COPX,Copper_shock_20d,20d,-0.03739791221990185
SPY,Aluminum_shock_20d,20d,-0.03770421508525115
XME,Copper_shock_20d,20d,-0.04327319354400349
VIS,Gold_shock_20d,20d,-0.0447747679146522
PICK,Copper_shock_20d,20d,-0.04488462622060323
XLI,USD_shock_20d,20d,-0.04603711916403469
COPX,USD_shock_20d,20d,-0.047467486249516806
XLB,Gold_shock_20d,20d,-0.0561864104651113
ITA,Copper_shock_20d,20d,-0.06057564540545128
PRNT,Oil_shock_20d,20d,-0.06058790264652289
PRNT,Gold_shock_20d,20d,-0.06297081399291782
XLB,Copper_shock_20d,20d,-0.06969238720377388
SPY,Oil_shock_20d,20d,-0.07035841480199213
XME,Gold_shock_20d,20d,-0.07445987440729802
XAR,Copper_shock_20d,20d,-0.08109662353103474
VIS,Copper_shock_20d,20d,-0.08444520977170666
XLI,Copper_shock_20d,20d,-0.08507982234327074
XAR,USD_shock_20d,20d,-0.08814731602662416
SPY,Gold_shock_20d,20d,-0.0925310437867726
SPY,CMSI,20d,-0.09708460823718282
PRNT,CMSI,20d,-0.09715451817174135
ITA,USD_shock_20d,20d,-0.10476189881634208
PRNT,Copper_shock_20d,20d,-0.11410700607565957
SPY,Copper_shock_20d,20d,-0.11873152718605842
